K-bars,Day,action,NetProfit
   1.000,1988/1/5,Waiting,   0.000
   2.000,1988/1/6,Waiting,   0.000
   3.000,1988/1/7,Waiting,   0.000
   4.000,1988/1/8,Waiting,   0.000
   5.000,1988/1/9,Waiting,   0.000
   6.000,1988/1/11,Waiting,   0.000
   7.000,1988/1/12,Waiting,   0.000
   8.000,1988/1/13,Waiting,   0.000
   9.000,1988/1/14,Waiting,   0.000
  10.000,1988/1/15,Waiting,   0.000
  11.000,1988/1/16,Waiting,   0.000
  12.000,1988/1/18,Waiting,   0.000
  13.000,1988/1/19,Waiting,   0.000
  14.000,1988/1/20,Waiting,   0.000
  15.000,1988/1/21,Waiting,   0.000
  16.000,1988/1/22,Waiting,   0.000
  17.000,1988/1/23,Waiting,   0.000
  18.000,1988/1/25,Waiting,   0.000
  19.000,1988/1/26,Waiting,   0.000
  20.000,1988/1/27,Waiting,   0.000
  21.000,1988/1/28,Waiting,   0.000
  22.000,1988/1/29,Waiting,   0.000
  23.000,1988/2/1,Waiting,   0.000
  24.000,1988/2/2,Waiting,   0.000
  25.000,1988/2/3,Waiting,   0.000
  26.000,1988/2/4,Waiting,   0.000
  27.000,1988/2/5,Waiting,   0.000
  28.000,1988/2/6,Waiting,   0.000
  29.000,1988/2/8,Waiting,   0.000
  30.000,1988/2/9,Waiting,   0.000
  31.000,1988/2/10,Waiting,   0.000
  32.000,1988/2/11,Waiting,   0.000
  33.000,1988/2/12,Waiting,   0.000
  34.000,1988/2/22,Waiting,   0.000
  35.000,1988/2/23,Waiting,   0.000
  36.000,1988/2/24,Waiting,   0.000
  37.000,1988/2/25,Waiting,   0.000
  38.000,1988/2/26,Waiting,   0.000
  39.000,1988/2/27,Waiting,   0.000
  40.000,1988/2/29,Waiting,   0.000
  41.000,1988/3/1,Waiting,   0.000
  42.000,1988/3/2,Waiting,   0.000
  43.000,1988/3/3,Waiting,   0.000
  44.000,1988/3/4,Waiting,   0.000
  45.000,1988/3/5,Waiting,   0.000
  46.000,1988/3/7,Waiting,   0.000
  47.000,1988/3/8,Waiting,   0.000
  48.000,1988/3/9,Waiting,   0.000
  49.000,1988/3/10,Waiting,   0.000
  50.000,1988/3/11,Waiting,   0.000
  51.000,1988/3/12,Waiting,   0.000
  52.000,1988/3/14,Waiting,   0.000
  53.000,1988/3/15,Waiting,   0.000
  54.000,1988/3/16,Waiting,   0.000
  55.000,1988/3/17,Waiting,   0.000
  56.000,1988/3/18,Waiting,   0.000
  57.000,1988/3/19,Waiting,   0.000
  58.000,1988/3/21,Waiting,   0.000
  59.000,1988/3/22,Waiting,   0.000
  60.000,1988/3/23,Waiting,   0.000
  61.000,1988/3/24,Waiting,   0.000
  62.000,1988/3/25,Waiting,   0.000
  63.000,1988/3/26,Waiting,   0.000
  64.000,1988/3/28,Waiting,   0.000
  65.000,1988/3/30,Waiting,   0.000
  66.000,1988/3/31,Waiting,   0.000
  67.000,1988/4/1,Waiting,   0.000
  68.000,1988/4/2,Waiting,   0.000
  69.000,1988/4/5,Waiting,   0.000
  70.000,1988/4/6,Waiting,   0.000
  71.000,1988/4/7,Waiting,   0.000
  72.000,1988/4/8,Waiting,   0.000
  73.000,1988/4/9,Waiting,   0.000
  74.000,1988/4/11,Waiting,   0.000
  75.000,1988/4/12,Waiting,   0.000
  76.000,1988/4/13,Waiting,   0.000
  77.000,1988/4/14,Waiting,   0.000
  78.000,1988/4/15,Waiting,   0.000
  79.000,1988/4/16,Waiting,   0.000
  80.000,1988/4/18,Waiting,   0.000
  81.000,1988/4/19,Waiting,   0.000
  82.000,1988/4/20,Waiting,   0.000
  83.000,1988/4/21,Waiting,   0.000
  84.000,1988/4/22,Waiting,   0.000
  85.000,1988/4/23,Waiting,   0.000
  86.000,1988/4/25,Waiting,   0.000
  87.000,1988/4/26,Waiting,   0.000
  88.000,1988/4/27,Buy,   0.000
  89.000,1988/4/28,Holding,29810.271
  90.000,1988/4/29,Holding,42005.414
  91.000,1988/4/30,Holding,66395.633
  92.000,1988/5/2,Holding,94850.922
  93.000,1988/5/3,Holding,124661.258
  94.000,1988/5/4,Holding,124661.258
  95.000,1988/5/5,Holding,113821.164
  96.000,1988/5/6,Holding,142276.453
  97.000,1988/5/7,Holding,149051.422
  98.000,1988/5/9,Holding,136856.406
  99.000,1988/5/10,Holding,113821.164
 100.000,1988/5/11,Sell,142276.453
 101.000,1988/5/12,Buy,142276.453
 102.000,1988/5/13,Sell,172228.781
 103.000,1988/5/14,Buy,172228.781
 104.000,1988/5/16,Holding,194797.188
 105.000,1988/5/17,Holding,160280.781
 106.000,1988/5/18,Sell,125764.391
 107.000,1988/5/19,Waiting,125764.391
 108.000,1988/5/20,Waiting,125764.391
 109.000,1988/5/21,Waiting,125764.391
 110.000,1988/5/23,Waiting,125764.391
 111.000,1988/5/24,Waiting,125764.391
 112.000,1988/5/25,Waiting,125764.391
 113.000,1988/5/26,Waiting,125764.391
 114.000,1988/5/27,Waiting,125764.391
 115.000,1988/5/28,Waiting,125764.391
 116.000,1988/5/30,Waiting,125764.391
 117.000,1988/5/31,Waiting,125764.391
 118.000,1988/6/1,Waiting,125764.391
 119.000,1988/6/2,Waiting,125764.391
 120.000,1988/6/3,Waiting,125764.391
 121.000,1988/6/4,Waiting,125764.391
 122.000,1988/6/6,Waiting,125764.391
 123.000,1988/6/7,Waiting,125764.391
 124.000,1988/6/8,Waiting,125764.391
 125.000,1988/6/9,Waiting,125764.391
 126.000,1988/6/10,Buy,125764.391
 127.000,1988/6/11,Sell,92765.625
 128.000,1988/6/13,Waiting,92765.625
 129.000,1988/6/14,Waiting,92765.625
 130.000,1988/6/15,Waiting,92765.625
 131.000,1988/6/16,Waiting,92765.625
 132.000,1988/6/17,Waiting,92765.625
 133.000,1988/6/20,Waiting,92765.625
 134.000,1988/6/21,Waiting,92765.625
 135.000,1988/6/22,Waiting,92765.625
 136.000,1988/6/23,Waiting,92765.625
 137.000,1988/6/24,Waiting,92765.625
 138.000,1988/6/25,Waiting,92765.625
 139.000,1988/6/27,Waiting,92765.625
 140.000,1988/6/28,Waiting,92765.625
 141.000,1988/6/29,Waiting,92765.625
 142.000,1988/6/30,Waiting,92765.625
 143.000,1988/7/2,Waiting,92765.625
 144.000,1988/7/4,Waiting,92765.625
 145.000,1988/7/5,Waiting,92765.625
 146.000,1988/7/6,Waiting,92765.625
 147.000,1988/7/7,Waiting,92765.625
 148.000,1988/7/8,Waiting,92765.625
 149.000,1988/7/9,Waiting,92765.625
 150.000,1988/7/11,Waiting,92765.625
 151.000,1988/7/12,Waiting,92765.625
 152.000,1988/7/13,Waiting,92765.625
 153.000,1988/7/14,Waiting,92765.625
 154.000,1988/7/15,Waiting,92765.625
 155.000,1988/7/16,Waiting,92765.625
 156.000,1988/7/18,Waiting,92765.625
 157.000,1988/7/19,Waiting,92765.625
 158.000,1988/7/20,Waiting,92765.625
 159.000,1988/7/21,Waiting,92765.625
 160.000,1988/7/22,Waiting,92765.625
 161.000,1988/7/23,Waiting,92765.625
 162.000,1988/7/25,Waiting,92765.625
 163.000,1988/7/26,Waiting,92765.625
 164.000,1988/7/27,Waiting,92765.625
 165.000,1988/7/28,Waiting,92765.625
 166.000,1988/7/29,Waiting,92765.625
 167.000,1988/7/30,Waiting,92765.625
 168.000,1988/8/1,Waiting,92765.625
 169.000,1988/8/2,Waiting,92765.625
 170.000,1988/8/3,Waiting,92765.625
 171.000,1988/8/4,Buy,92765.625
 172.000,1988/8/5,Holding,124021.875
 173.000,1988/8/6,Holding,155278.016
 174.000,1988/8/8,Holding,187736.469
 175.000,1988/8/9,Holding,218992.719
 176.000,1988/8/10,Holding,186534.281
 177.000,1988/8/11,Holding,152873.750
 178.000,1988/8/12,Holding,186534.281
 179.000,1988/8/13,Holding,169703.953
 180.000,1988/8/15,Holding,202162.406
 181.000,1988/8/16,Holding,235822.922
 182.000,1988/8/17,Holding,268281.375
 183.000,1988/8/18,Holding,301941.875
 184.000,1988/8/19,Holding,340411.063
 185.000,1988/8/20,Holding,378880.344
 186.000,1988/8/22,Holding,417349.500
 187.000,1988/8/23,Holding,455818.656
 188.000,1988/8/24,Holding,495490.031
 189.000,1988/8/25,Holding,538767.938
 190.000,1988/8/26,Holding,495490.031
 191.000,1988/8/27,Holding,451010.031
 192.000,1988/8/29,Sell,417349.500
 193.000,1988/8/30,Waiting,417349.500
 194.000,1988/8/31,Waiting,417349.500
 195.000,1988/9/1,Waiting,417349.500
 196.000,1988/9/2,Waiting,417349.500
 197.000,1988/9/3,Waiting,417349.500
 198.000,1988/9/5,Waiting,417349.500
 199.000,1988/9/6,Buy,417349.500
 200.000,1988/9/7,Holding,450846.656
 201.000,1988/9/8,Holding,406881.594
 202.000,1988/9/9,Sell,369197.281
 203.000,1988/9/10,Waiting,369197.281
 204.000,1988/9/12,Waiting,369197.281
 205.000,1988/9/13,Waiting,369197.281
 206.000,1988/9/14,Waiting,369197.281
 207.000,1988/9/15,Waiting,369197.281
 208.000,1988/9/16,Buy,369197.281
 209.000,1988/9/17,Holding,377484.313
 210.000,1988/9/19,Holding,377484.313
 211.000,1988/9/20,Holding,411553.094
 212.000,1988/9/21,Holding,428127.125
 213.000,1988/9/22,Holding,470482.938
 214.000,1988/9/23,Holding,512838.750
 215.000,1988/9/24,Holding,555194.500
 216.000,1988/9/29,Holding,512838.750
 217.000,1988/9/30,Holding,470482.938
 218.000,1988/10/1,Sell,428127.125
 219.000,1988/10/3,Waiting,428127.125
 220.000,1988/10/4,Waiting,428127.125
 221.000,1988/10/5,Waiting,428127.125
 222.000,1988/10/6,Waiting,428127.125
 223.000,1988/10/7,Waiting,428127.125
 224.000,1988/10/8,Waiting,428127.125
 225.000,1988/10/11,Waiting,428127.125
 226.000,1988/10/12,Waiting,428127.125
 227.000,1988/10/13,Waiting,428127.125
 228.000,1988/10/14,Waiting,428127.125
 229.000,1988/10/15,Waiting,428127.125
 230.000,1988/10/17,Waiting,428127.125
 231.000,1988/10/18,Waiting,428127.125
 232.000,1988/10/19,Waiting,428127.125
 233.000,1988/10/20,Waiting,428127.125
 234.000,1988/10/21,Waiting,428127.125
 235.000,1988/10/22,Waiting,428127.125
 236.000,1988/10/24,Waiting,428127.125
 237.000,1988/10/26,Waiting,428127.125
 238.000,1988/10/27,Waiting,428127.125
 239.000,1988/10/28,Waiting,428127.125
 240.000,1988/10/29,Waiting,428127.125
 241.000,1988/11/1,Waiting,428127.125
 242.000,1988/11/2,Waiting,428127.125
 243.000,1988/11/3,Waiting,428127.125
 244.000,1988/11/4,Waiting,428127.125
 245.000,1988/11/5,Waiting,428127.125
 246.000,1988/11/7,Waiting,428127.125
 247.000,1988/11/8,Waiting,428127.125
 248.000,1988/11/9,Waiting,428127.125
 249.000,1988/11/10,Waiting,428127.125
 250.000,1988/11/11,Waiting,428127.125
 251.000,1988/11/14,Waiting,428127.125
 252.000,1988/11/15,Waiting,428127.125
