K-bars,Day,action,NetProfit
   1.000,1988/1/5,Waiting,   0.000
   2.000,1988/1/6,Waiting,   0.000
   3.000,1988/1/7,Waiting,   0.000
   4.000,1988/1/8,Waiting,   0.000
   5.000,1988/1/9,Waiting,   0.000
   6.000,1988/1/11,Waiting,   0.000
   7.000,1988/1/12,Waiting,   0.000
   8.000,1988/1/13,Waiting,   0.000
   9.000,1988/1/14,Waiting,   0.000
  10.000,1988/1/15,Waiting,   0.000
  11.000,1988/1/16,Waiting,   0.000
  12.000,1988/1/18,Waiting,   0.000
  13.000,1988/1/19,Waiting,   0.000
  14.000,1988/1/20,Waiting,   0.000
  15.000,1988/1/21,Waiting,   0.000
  16.000,1988/1/22,Waiting,   0.000
  17.000,1988/1/23,Waiting,   0.000
  18.000,1988/1/25,Waiting,   0.000
  19.000,1988/1/26,Waiting,   0.000
  20.000,1988/1/27,Waiting,   0.000
  21.000,1988/1/28,Waiting,   0.000
  22.000,1988/1/29,Waiting,   0.000
  23.000,1988/2/1,Waiting,   0.000
  24.000,1988/2/2,Waiting,   0.000
  25.000,1988/2/3,Waiting,   0.000
  26.000,1988/2/4,Waiting,   0.000
  27.000,1988/2/5,Waiting,   0.000
  28.000,1988/2/6,Waiting,   0.000
  29.000,1988/2/8,Waiting,   0.000
  30.000,1988/2/9,Waiting,   0.000
  31.000,1988/2/10,Waiting,   0.000
  32.000,1988/2/11,Waiting,   0.000
  33.000,1988/2/12,Waiting,   0.000
  34.000,1988/2/22,Waiting,   0.000
  35.000,1988/2/23,Waiting,   0.000
  36.000,1988/2/24,Waiting,   0.000
  37.000,1988/2/25,Waiting,   0.000
  38.000,1988/2/26,Waiting,   0.000
  39.000,1988/2/27,Waiting,   0.000
  40.000,1988/2/29,Waiting,   0.000
  41.000,1988/3/1,Waiting,   0.000
  42.000,1988/3/2,Waiting,   0.000
  43.000,1988/3/3,Waiting,   0.000
  44.000,1988/3/4,Waiting,   0.000
  45.000,1988/3/5,Waiting,   0.000
  46.000,1988/3/7,Waiting,   0.000
  47.000,1988/3/8,Waiting,   0.000
  48.000,1988/3/9,Waiting,   0.000
  49.000,1988/3/10,Waiting,   0.000
  50.000,1988/3/11,Waiting,   0.000
  51.000,1988/3/12,Waiting,   0.000
  52.000,1988/3/14,Waiting,   0.000
  53.000,1988/3/15,Waiting,   0.000
  54.000,1988/3/16,Waiting,   0.000
  55.000,1988/3/17,Waiting,   0.000
  56.000,1988/3/18,Waiting,   0.000
  57.000,1988/3/19,Waiting,   0.000
  58.000,1988/3/21,Waiting,   0.000
  59.000,1988/3/22,Waiting,   0.000
  60.000,1988/3/23,Waiting,   0.000
  61.000,1988/3/24,Waiting,   0.000
  62.000,1988/3/25,Waiting,   0.000
  63.000,1988/3/26,Waiting,   0.000
  64.000,1988/3/28,Waiting,   0.000
  65.000,1988/3/30,Waiting,   0.000
  66.000,1988/3/31,Waiting,   0.000
  67.000,1988/4/1,Waiting,   0.000
  68.000,1988/4/2,Waiting,   0.000
  69.000,1988/4/5,Waiting,   0.000
  70.000,1988/4/6,Waiting,   0.000
  71.000,1988/4/7,Waiting,   0.000
  72.000,1988/4/8,Waiting,   0.000
  73.000,1988/4/9,Waiting,   0.000
  74.000,1988/4/11,Waiting,   0.000
  75.000,1988/4/12,Waiting,   0.000
  76.000,1988/4/13,Waiting,   0.000
  77.000,1988/4/14,Waiting,   0.000
  78.000,1988/4/15,Waiting,   0.000
  79.000,1988/4/16,Waiting,   0.000
  80.000,1988/4/18,Waiting,   0.000
  81.000,1988/4/19,Buy,   0.000
  82.000,1988/4/20,Sell,5943.531
  83.000,1988/4/21,Waiting,5943.531
  84.000,1988/4/22,Buy,5943.531
  85.000,1988/4/23,Sell,19316.510
  86.000,1988/4/25,Buy,19316.510
  87.000,1988/4/26,Holding,43930.699
  88.000,1988/4/27,Holding,68544.891
  89.000,1988/4/28,Holding,100398.500
  90.000,1988/4/29,Holding,113429.555
  91.000,1988/4/30,Holding,139491.609
  92.000,1988/5/2,Holding,169897.359
  93.000,1988/5/3,Holding,201751.047
  94.000,1988/5/4,Holding,201751.047
  95.000,1988/5/5,Holding,190167.906
  96.000,1988/5/6,Holding,220573.672
  97.000,1988/5/7,Holding,227813.016
  98.000,1988/5/9,Holding,214782.094
  99.000,1988/5/10,Holding,190167.906
 100.000,1988/5/11,Holding,220573.672
 101.000,1988/5/12,Holding,214782.094
 102.000,1988/5/13,Holding,246635.641
 103.000,1988/5/14,Holding,278489.313
 104.000,1988/5/16,Holding,303103.500
 105.000,1988/5/17,Holding,265458.250
 106.000,1988/5/18,Holding,227813.016
 107.000,1988/5/19,Holding,195959.484
 108.000,1988/5/20,Holding,190167.906
 109.000,1988/5/21,Holding,158314.234
 110.000,1988/5/23,Sell,126460.609
 111.000,1988/5/24,Waiting,126460.609
 112.000,1988/5/25,Waiting,126460.609
 113.000,1988/5/26,Waiting,126460.609
 114.000,1988/5/27,Waiting,126460.609
 115.000,1988/5/28,Waiting,126460.609
 116.000,1988/5/30,Waiting,126460.609
 117.000,1988/5/31,Waiting,126460.609
 118.000,1988/6/1,Waiting,126460.609
 119.000,1988/6/2,Waiting,126460.609
 120.000,1988/6/3,Waiting,126460.609
 121.000,1988/6/4,Waiting,126460.609
 122.000,1988/6/6,Waiting,126460.609
 123.000,1988/6/7,Buy,126460.609
 124.000,1988/6/8,Holding,155411.609
 125.000,1988/6/9,Holding,190942.547
 126.000,1988/6/10,Holding,167255.250
 127.000,1988/6/11,Holding,133040.297
 128.000,1988/6/13,Holding,115932.828
 129.000,1988/6/14,Sell,144883.953
 130.000,1988/6/15,Buy,144883.953
 131.000,1988/6/16,Holding,111475.414
 132.000,1988/6/17,Holding,139744.188
 133.000,1988/6/20,Holding,123039.914
 134.000,1988/6/21,Holding,99911.031
 135.000,1988/6/22,Sell,89631.375
 136.000,1988/6/23,Waiting,89631.375
 137.000,1988/6/24,Waiting,89631.375
 138.000,1988/6/25,Waiting,89631.375
 139.000,1988/6/27,Waiting,89631.375
 140.000,1988/6/28,Waiting,89631.375
 141.000,1988/6/29,Waiting,89631.375
 142.000,1988/6/30,Waiting,89631.375
 143.000,1988/7/2,Waiting,89631.375
 144.000,1988/7/4,Waiting,89631.375
 145.000,1988/7/5,Waiting,89631.375
 146.000,1988/7/6,Waiting,89631.375
 147.000,1988/7/7,Waiting,89631.375
 148.000,1988/7/8,Waiting,89631.375
 149.000,1988/7/9,Waiting,89631.375
 150.000,1988/7/11,Waiting,89631.375
 151.000,1988/7/12,Waiting,89631.375
 152.000,1988/7/13,Waiting,89631.375
 153.000,1988/7/14,Waiting,89631.375
 154.000,1988/7/15,Waiting,89631.375
 155.000,1988/7/16,Waiting,89631.375
 156.000,1988/7/18,Buy,89631.375
 157.000,1988/7/19,Sell,61059.359
 158.000,1988/7/20,Waiting,61059.359
 159.000,1988/7/21,Waiting,61059.359
 160.000,1988/7/22,Waiting,61059.359
 161.000,1988/7/23,Waiting,61059.359
 162.000,1988/7/25,Waiting,61059.359
 163.000,1988/7/26,Waiting,61059.359
 164.000,1988/7/27,Waiting,61059.359
 165.000,1988/7/28,Waiting,61059.359
 166.000,1988/7/29,Waiting,61059.359
 167.000,1988/7/30,Waiting,61059.359
 168.000,1988/8/1,Buy,61059.359
 169.000,1988/8/2,Sell,88882.047
 170.000,1988/8/3,Buy,88882.047
 171.000,1988/8/4,Holding,120944.297
 172.000,1988/8/5,Holding,153006.547
 173.000,1988/8/6,Holding,185068.672
 174.000,1988/8/8,Holding,218364.109
 175.000,1988/8/9,Holding,250426.359
 176.000,1988/8/10,Holding,217130.906
 177.000,1988/8/11,Holding,182602.406
 178.000,1988/8/12,Holding,217130.906
 179.000,1988/8/13,Holding,199866.594
 180.000,1988/8/15,Holding,233162.047
 181.000,1988/8/16,Holding,267690.563
 182.000,1988/8/17,Holding,300986.000
 183.000,1988/8/18,Holding,335514.500
 184.000,1988/8/19,Holding,374975.625
 185.000,1988/8/20,Holding,414436.938
 186.000,1988/8/22,Holding,453898.063
 187.000,1988/8/23,Holding,493359.250
 188.000,1988/8/24,Holding,534053.563
 189.000,1988/8/25,Holding,578447.500
 190.000,1988/8/26,Holding,534053.563
 191.000,1988/8/27,Holding,488426.563
 192.000,1988/8/29,Holding,453898.063
 193.000,1988/8/30,Holding,414436.938
 194.000,1988/8/31,Holding,453898.063
 195.000,1988/9/1,Holding,493359.250
 196.000,1988/9/2,Holding,534053.563
 197.000,1988/9/3,Holding,578447.500
 198.000,1988/9/5,Holding,624074.500
 199.000,1988/9/6,Holding,669701.500
 200.000,1988/9/7,Holding,709162.625
 201.000,1988/9/8,Holding,657369.813
 202.000,1988/9/9,Holding,612976.000
 203.000,1988/9/10,Holding,612976.000
 204.000,1988/9/12,Holding,657369.813
 205.000,1988/9/13,Holding,698064.313
 206.000,1988/9/14,Holding,742458.063
 207.000,1988/9/15,Holding,788085.063
 208.000,1988/9/16,Holding,833712.063
 209.000,1988/9/17,Holding,844810.563
 210.000,1988/9/19,Holding,844810.563
 211.000,1988/9/20,Holding,890437.563
 212.000,1988/9/21,Holding,912634.500
 213.000,1988/9/22,Holding,969359.938
 214.000,1988/9/23,Holding,1026085.438
 215.000,1988/9/24,Holding,1082810.750
 216.000,1988/9/29,Holding,1026085.438
 217.000,1988/9/30,Holding,969359.938
 218.000,1988/10/1,Holding,912634.500
 219.000,1988/10/3,Holding,855909.000
 220.000,1988/10/4,Holding,810282.063
 221.000,1988/10/5,Sell,765888.125
 222.000,1988/10/6,Waiting,765888.125
 223.000,1988/10/7,Waiting,765888.125
 224.000,1988/10/8,Waiting,765888.125
 225.000,1988/10/11,Waiting,765888.125
 226.000,1988/10/12,Waiting,765888.125
 227.000,1988/10/13,Waiting,765888.125
 228.000,1988/10/14,Waiting,765888.125
 229.000,1988/10/15,Waiting,765888.125
 230.000,1988/10/17,Waiting,765888.125
 231.000,1988/10/18,Waiting,765888.125
 232.000,1988/10/19,Waiting,765888.125
 233.000,1988/10/20,Waiting,765888.125
 234.000,1988/10/21,Waiting,765888.125
 235.000,1988/10/22,Waiting,765888.125
 236.000,1988/10/24,Waiting,765888.125
 237.000,1988/10/26,Waiting,765888.125
 238.000,1988/10/27,Waiting,765888.125
 239.000,1988/10/28,Waiting,765888.125
 240.000,1988/10/29,Waiting,765888.125
 241.000,1988/11/1,Waiting,765888.125
 242.000,1988/11/2,Waiting,765888.125
 243.000,1988/11/3,Waiting,765888.125
 244.000,1988/11/4,Waiting,765888.125
 245.000,1988/11/5,Waiting,765888.125
 246.000,1988/11/7,Waiting,765888.125
 247.000,1988/11/8,Waiting,765888.125
 248.000,1988/11/9,Waiting,765888.125
 249.000,1988/11/10,Waiting,765888.125
 250.000,1988/11/11,Waiting,765888.125
 251.000,1988/11/14,Waiting,765888.125
 252.000,1988/11/15,Waiting,765888.125
 253.000,1988/11/16,Waiting,765888.125
 254.000,1988/11/17,Waiting,765888.125
